都道府県名,年,国籍,年間訪問者数,第1四半期,第2四半期,第3四半期,第4四半期
北海道,2018,韓国,634236,170555,139533,198037,126111
北海道,2018,中国,555270,210380,95792,138860,110238
北海道,2018,台湾,510911,141617,124599,129504,115191
北海道,2018,香港,188459,56809,37010,49685,44955
北海道,2018,ベトナム,10430,2429,3450,4312,239
北海道,2018,タイ,161088,44465,40898,34001,41724
北海道,2018,シンガポール,48415,9606,10546,8900,19363
北海道,2018,マレーシア,98935,25955,24923,22296,25761
北海道,2018,フィリピン,10452,3213,3993,883,2363
北海道,2018,インドネシア,16000,3448,7499,880,4173
北海道,2018,インド,1759,0,271,990,498
北海道,2018,英国,11364,6110,1274,3102,878
北海道,2018,フランス,10677,3311,1705,4761,900
北海道,2018,ドイツ,7974,3015,1026,2024,1909
北海道,2018,スペイン,1169,709,0,460,0
北海道,2018,イタリア,2688,590,1968,130,0
北海道,2018,ロシア,8212,2840,3038,2334,0
北海道,2018,カナダ,14669,5463,2909,1779,4518
北海道,2018,米国,61508,20902,13708,14312,12586
北海道,2018,オーストラリア,41939,24034,4167,7549,6189
北海道,2019,韓国,551864,200460,174147,151852,25405
北海道,2019,中国,648988,266327,101192,144042,137427
北海道,2019,台湾,515084,141570,115656,131094,126764
北海道,2019,香港,185582,51471,34388,48614,51109
北海道,2019,ベトナム,5853,4010,0,547,1296
北海道,2019,タイ,180986,61855,35166,24906,59059
北海道,2019,シンガポール,54407,13460,10191,7296,23460
北海道,2019,マレーシア,75215,19920,19737,9643,25915
北海道,2019,フィリピン,22063,7293,3944,4920,5906
北海道,2019,インドネシア,16135,6804,5571,825,2935
北海道,2019,インド,4737,413,1254,1763,1307
北海道,2019,英国,22103,11673,2768,5518,2144
北海道,2019,フランス,11608,3106,3134,3258,2110
北海道,2019,ドイツ,9781,4641,2636,1539,965
北海道,2019,スペイン,2482,848,700,402,532
北海道,2019,イタリア,3227,613,1654,598,362
北海道,2019,ロシア,8395,3596,1255,531,3013
北海道,2019,カナダ,15023,4374,4226,3872,2551
北海道,2019,米国,80667,30456,15154,18978,16079
北海道,2019,オーストラリア,55225,41084,4131,4318,5692
青森県,2012,韓国,1352,360,0,992,0
青森県,2012,中国,3291,1298,1246,353,394
青森県,2012,台湾,9974,229,2689,915,6141
青森県,2012,香港,2474,469,801,0,1204
青森県,2012,タイ,680,180,272,0,228
青森県,2012,シンガポール,0,0,0,0,0
青森県,2012,マレーシア,674,222,246,206,0
青森県,2012,インド,115,115,0,0,0
青森県,2012,英国,588,0,204,0,384
青森県,2012,フランス,162,162,0,0,0
青森県,2012,ドイツ,529,0,0,216,313
青森県,2012,ロシア,453,0,0,364,89
青森県,2012,カナダ,1215,0,423,256,536
青森県,2012,米国,11392,2109,3891,2017,3375
青森県,2012,オーストラリア,3342,1103,874,342,1023
青森県,2013,韓国,3028,0,1245,1495,288
青森県,2013,中国,3587,0,251,2243,1093
青森県,2013,台湾,15354,1330,921,4677,8426
